Region,Population,school_age_pop,adm2_name,school_count,area_sqkm,schools_per_1000_children,schools_per_km2,child_pop_density,density_gap,year,density_norm,school_fragility_score
Komandjari,140907.0,62069.53349999999,Komandjari,19,5093.32900448,0.3061033783445732,0.0037303696626092573,12.186437091616261,0.3061033783445732,2020,0.03847464021889918,0.9615253597811009
Djelgodji,338144.0,148952.43199999997,Djelgodji,81,7758.73839695,0.5437941168082654,0.010439841615466959,19.198022201464344,0.5437941168082654,2020,0.06960866018811243,0.9303913398118876
Karo-Peli,180848.0,79663.544,Karo-Peli,55,4714.86536522,0.6903949641637314,0.01166523235333861,16.89625001546207,0.6903949641637314,2020,0.08881123298741342,0.9111887670125866
Kossin,358840.0,158069.02,Kossin,330,7409.9013243,2.0876824080872516,0.044535006008487504,21.332135622593125,2.0876824080872516,2020,0.271835508409449,0.728164491590551
Nayala,208622.0,91897.991,Nayala,128,3700.9667896,1.3928335731128973,0.034585557579087114,24.830806711976013,1.3928335731128973,2020,0.1808204455445546,0.8191795544554454
Sourou,273975.0,120685.98749999999,Sourou,28,5969.49134415,0.2320051281419217,0.004690516894281039,20.217130831133577,0.2320051281419217,2020,0.02876885018095243,0.9712311498190476
Comoe,941571.0,414762.02549999993,Comoe,207,15283.02291252,0.4990801669229314,0.013544440859957332,27.13874263449693,0.4990801669229314,2020,0.06375178491551935,0.9362482150844806
Leraba,183427.0,80799.59349999999,Leraba,95,3002.21671437,1.1757339381424226,0.031643285291593375,26.913311458581823,1.1757339381424226,2020,0.15238355980736737,0.8476164401926326
Dyamongou,173952.0,76625.85599999999,Dyamongou,67,6100.26647201,0.8743670756894948,0.010983126771169378,12.56106702085626,0.8743670756894948,2020,0.11290889632525683,0.8870911036747432
Gobnangou,404951.0,178380.91549999997,Gobnangou,594,9244.43623858,3.329933969679791,0.06425486472837005,19.296029622180654,3.329933969679791,2020,0.43455234447715446,0.5654476555228456
Loroum,201650.0,88826.82499999998,Loroum,527,3760.95391465,5.932825665831625,0.14012402490420928,23.618163640345042,5.932825665831625,2020,0.7754931929489148,0.22450680705108517
